vehicle_engine_id,vehicle_model_id,engine,hp,engine_code
328,50,1.6 HDi,66,9HX
329,50,1.6 HDi,66,9HV
330,51,1.6 HDi,80,9HZ
331,51,1.6 HDi,80,9HY
332,51,1.6 HDi,85,9HY
333,52,1.6 HDi,80,9HZ
334,52,1.6 HDi,80,9HY
335,53,1.6 HDi,80,9HZ
336,53,1.6 HDi,80,9HY
337,54,1.6 HDi,80,9HZ
338,54,1.6 HDi,80,9HY
339,55,1.6 HDi,80,9HZ
340,55,1.6 HDi,80,9HY
341,56,1.6 HDi 110,80,9HZ
342,57,1.6 HDi 110,80,9HZ
343,58,1.6 HDi,80,9HZ
344,58,1.6 HDi,80,9HY
345,59,1.6 DI Turbo,80,Y601
346,59,1.6 DI Turbo,80,Y642
347,59,1.6 DI Turbo,80,Y603
348,59,1.6 DI Turbo,80,Y605
349,59,1.6 MZ-CD,66,Y406
350,59,1.6 MZ-CD,80,Y642
351,60,1.6 DI Turbo,80,Y601
352,60,1.6 DI Turbo,80,Y642
353,60,1.6 DI Turbo,80,Y603
354,60,1.6 DI Turbo,80,Y605
355,60,1.6 MZR CD,80,Y642
356,61,Cooper D,80,9HZ
357,61,Cooper D,80,W16 D16
358,61,One D,66,9HZ
359,62,Cooper D,80,9HZ
360,63,1.6 HDi,80,9HZ
361,64,1.6 HDi 110,80,9HZ
362,65,1.6 HDi 110,80,9HY
363,65,1.6 HDi 110,80,9HZ
364,66,1.6 HDi 110,80,9HZ
365,67,1.6 HDi,80,9HY
366,67,1.6 HDi,80,9HZ
367,67,1.6 HDi,66,9HV
368,67,1.6 HDi,66,9HX
369,68,1.6 HDi,80,9HZ
370,69,1.6 HDi,80,9HZ
371,69,1.6 HDi,66,9HX
372,70,1.6 HDi,66,9HX
373,70,1.6 HDi,66,9HV
374,70,1.6 HDi,80,9HZ
375,71,1.6 HDi,80,9HZ
376,72,1.6 HDi,80,9HZ
377,73,HDi 110,80,9HZ
378,74,1.6 HDi 110,80,9HY
379,74,1.6 HDi 110,80,9HZ
380,74,1.6 HDi,66,9HV
381,74,1.6 HDi,66,9HX
382,75,1.6 HDi,66,9HX
383,75,1.6 HDi,66,9HV
384,75,1.6 HDi 110,80,9HY
385,75,1.6 HDi 110,80,9HZ
386,76,1.6 HDI 110,80,9HY
387,76,1.6 HDI 110,80,9HZ
388,76,1.6 HDI 90,66,9HX
389,76,1.6 HDI 90,66,9HV
390,77,1.6 HDi,82,9HZ
391,78,1.6 HDi,80,9HZ
392,78,1.6 HDi,80,9HY
393,78,1.6 HDi,66,9HV
394,78,1.6 HDi,66,9HX
395,79,1.6 HDi,80,9HZ
396,79,1.6 HDi,80,9HY
397,79,1.6 HDi,66,9HV
398,79,1.6 HDi,66,9HX
399,80,1.6 HDi,80,9HZ
400,81,1.6 HDi 110,80,9HZ
401,81,1.6 HDi 110,80,9HY
402,82,1.6 HDi 110,80,9HZ
403,82,1.6 HDi 110,80,9HY
404,83,1.6 HDi,80,9HZ
405,84,1.6 HDi 16V 4x4,66,9HX
406,84,1.6 HDi 16V 4x4,66,9HS
407,84,1.6 HDi,80,9HZ
408,84,1.6 HDi 16V,66,9HX
409,84,1.6 HDi 16V,66,9HS
410,85,1.6 HDi 16V,66,9HX
411,85,1.6 HDi 16V,66,9HS
412,86,1.6 HDi 16V,66,9HV
413,86,1.6 HDi,80,9HZ
