product_item_id,product_sku_id,sku,vehicle_make_id,title,make_name,vehicle_model_id,model_name,vehicle_engine_id,engine,hp,engine_code
1023,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 88 CP - Recondiţionată,Audi,7,Q3,63,2.0 TDI,88,CUVD
1023,2,04L253010B,1,Turbina AUDI Q3 2.0 TDI 88 CP - Recondiţionată,Audi,7,Q3,62,2.0 TDI,88,DFTC
1024,2,04L253010B,1,Turbina AUDI Q3 35 TDI quattro 110 CP - Recondiţionată,Audi,7,Q3,64,35 TDI quattro,110,DFGA
1024,2,04L253010B,1,Turbina AUDI Q3 35 TDI quattro 110 CP - Recondiţionată,Audi,7,Q3,66,35 TDI quattro,110,DTSA
1024,2,04L253010B,1,Turbina AUDI Q3 35 TDI quattro 110 CP - Recondiţionată,Audi,7,Q3,65,35 TDI quattro,110,DTSB
1025,2,04L253010B,1,Turbina AUDI Q3 35 TDI 110 CP - Recondiţionată,Audi,7,Q3,67,35 TDI,110,DFGA
1025,2,04L253010B,1,Turbina AUDI Q3 35 TDI 110 CP - Recondiţionată,Audi,7,Q3,69,35 TDI,110,DTSA
1025,2,04L253010B,1,Turbina AUDI Q3 35 TDI 110 CP - Recondiţionată,Audi,7,Q3,68,35 TDI,110,DTSB
1025,2,04L253010B,1,Turbina AUDI Q3 35 TDI 110 CP - Recondiţionată,Audi,7,Q3,70,35 TDI,110,DXPA
1026,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI 110 CP - Recondiţionată,Audi,8,Q3 Sportback,71,35 TDI,110,DFGA
1026,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI 110 CP - Recondiţionată,Audi,8,Q3 Sportback,73,35 TDI,110,DTSA
1026,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI 110 CP - Recondiţionată,Audi,8,Q3 Sportback,72,35 TDI,110,DTSB
1026,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI 110 CP - Recondiţionată,Audi,8,Q3 Sportback,74,35 TDI,110,DXPA
1027,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI quattro 110 CP - Recondiţionată,Audi,8,Q3 Sportback,75,35 TDI quattro,110,DFGA
1027,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI quattro 110 CP - Recondiţionată,Audi,8,Q3 Sportback,77,35 TDI quattro,110,DTSA
1027,2,04L253010B,1,Turbina AUDI Q3 Sportback 35 TDI quattro 110 CP - Recondiţionată,Audi,8,Q3 Sportback,76,35 TDI quattro,110,DTSB
1028,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,79,2.0 TDI 4Drive,110,CUVC
1028,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,78,2.0 TDI 4Drive,110,DFLA
1028,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,80,2.0 TDI 4Drive,110,DLTA
1029,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDi 4Drive 130 CP - Recondiţionată,SEAT,9,ALHAMBRA,81,2.0 TDi 4Drive,130,DLUB
1030,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 85 CP - Recondiţionată,SEAT,9,ALHAMBRA,82,2.0 TDI,85,CFFE
1030,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 85 CP - Recondiţionată,SEAT,9,ALHAMBRA,83,2.0 TDI,85,CUVA
1030,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 85 CP - Recondiţionată,SEAT,9,ALHAMBRA,85,2.0 TDI,85,DFLD
1030,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 85 CP - Recondiţionată,SEAT,9,ALHAMBRA,84,2.0 TDI,85,DLTC
1031,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,88,2.0 TDI,110,CUVC
1031,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,87,2.0 TDI,110,DFLA
1031,2,04L253010B,2,Turbina SEAT ALHAMBRA 2.0 TDI 110 CP - Recondiţionată,SEAT,9,ALHAMBRA,86,2.0 TDI,110,DLTA
1032,2,04L253010B,2,Turbina SEAT ALHAMBRA VAN TDI 4Drive 110 CP - Recondiţionată,SEAT,10,ALHAMBRA VAN,89,TDI 4Drive,110,CUVC
1033,2,04L253010B,2,Turbina SEAT ALHAMBRA VAN TDI 110 CP - Recondiţionată,SEAT,10,ALHAMBRA VAN,90,TDI,110,CUVC
1033,2,04L253010B,2,Turbina SEAT ALHAMBRA VAN TDI 110 CP - Recondiţionată,SEAT,10,ALHAMBRA VAN,91,TDI,110,DFLA
1034,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,11,ATECA,92,2.0 TDI 4Drive,110,DFFA
1034,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,11,ATECA,93,2.0 TDI 4Drive,110,DTTC
1035,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 105 CP - Recondiţionată,SEAT,11,ATECA,94,2.0 TDI,105,CRVC
1036,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 110 CP - Recondiţionată,SEAT,11,ATECA,95,2.0 TDI,110,DFFA
