product_sku_id,sku,turbo_code_id,code
13,11652287498,420,11657797781
13,11652287498,421,11657797782
13,11652287498,422,11657808477
13,11652287498,423,11657808478
13,11652287498,424,11657810199
13,11652287498,425,11657810200
13,11652287498,426,11657810203
13,11652287498,769,11657810204
13,11652287498,427,11658506891
13,11652287498,428,11658506892
13,11652287498,429,11658506893
13,11652287498,430,11658506894
13,11652287498,431,11658506895
13,11652287498,432,11658506896
13,11652287498,770,11659889700
13,11652287498,433,2287498
13,11652287498,771,2348704
13,11652287498,434,2433152
13,11652287498,435,472468601
13,11652287498,436,4727470
13,11652287498,772,472747006
13,11652287498,777,49135-05810
13,11652287498,455,49135-05830
13,11652287498,409,49135-05830/R
13,11652287498,410,49135-05840
13,11652287498,411,49135-05850
13,11652287498,412,49135-05860
13,11652287498,456,49135-05870
13,11652287498,457,49135-05880
13,11652287498,413,49135-05885
13,11652287498,458,49135-05886
13,11652287498,459,49135-05890
13,11652287498,778,49135-05894
13,11652287498,460,4913505840
13,11652287498,461,4913505850
13,11652287498,462,4913505860
13,11652287498,463,4913505865
13,11652287498,464,4913505875
13,11652287498,465,4913505885
13,11652287498,466,4913505895
13,11652287498,467,4913505896
13,11652287498,468,49335-00100
13,11652287498,414,49335-00220
13,11652287498,469,49335-00221
13,11652287498,415,49335-00230
13,11652287498,470,49335-00241
13,11652287498,471,49335-00420
13,11652287498,472,49335-00430
13,11652287498,473,49335-00431
13,11652287498,416,49335-00440
13,11652287498,474,4933500200
13,11652287498,475,4933500220
13,11652287498,476,4933500230
13,11652287498,477,4933500240
13,11652287498,478,4933500440
13,11652287498,479,4933500441
13,11652287498,480,49490-93501
13,11652287498,773,7440240
13,11652287498,437,7797781
13,11652287498,774,7797781-04
13,11652287498,438,779778103
13,11652287498,439,7797782
13,11652287498,440,7808477
13,11652287498,441,780847701
13,11652287498,442,7808478
13,11652287498,443,7810199
13,11652287498,444,7810200
13,11652287498,445,7810203
13,11652287498,446,8506891
13,11652287498,447,850689101
13,11652287498,448,8506892
13,11652287498,449,8506893
13,11652287498,450,850689301
13,11652287498,451,8506894
13,11652287498,452,8506895
13,11652287498,453,850689501
13,11652287498,454,8506896
13,11652287498,775,9889700
13,11652287498,776,99992471896
13,11652287498,779,TF035HL6B-13TBA
14,03G253010JV,529,03G253010JV
14,03G253010JV,530,03G253010JX
14,03G253010JV,531,03G253014HV
14,03G253010JV,532,03G253014HX
14,03G253010JV,533,03G253019AV
14,03G253010JV,534,03G253019AX
14,03G253010JV,481,724930
14,03G253010JV,482,724930-0001*
14,03G253010JV,483,724930-0002
14,03G253010JV,484,724930-0003*
14,03G253010JV,485,724930-0004
14,03G253010JV,486,724930-0004S
14,03G253010JV,487,724930-0006
14,03G253010JV,488,724930-0008
14,03G253010JV,489,724930-0009
14,03G253010JV,490,724930-0010
14,03G253010JV,491,724930-0011*
14,03G253010JV,492,724930-0012
14,03G253010JV,493,724930-1*
14,03G253010JV,494,724930-10
14,03G253010JV,495,724930-12
14,03G253010JV,496,724930-2
14,03G253010JV,497,724930-4
14,03G253010JV,498,724930-5002*
14,03G253010JV,499,724930-5002S
14,03G253010JV,500,724930-5003*
14,03G253010JV,501,724930-5003S*
14,03G253010JV,502,724930-5004*
14,03G253010JV,503,724930-5004S
14,03G253010JV,504,724930-5006*
14,03G253010JV,505,724930-5006S
14,03G253010JV,506,724930-5008*
14,03G253010JV,507,724930-5008S
14,03G253010JV,508,724930-5009*
14,03G253010JV,509,724930-5009R
14,03G253010JV,510,724930-5009S
14,03G253010JV,511,724930-5010*
14,03G253010JV,512,724930-5010S
14,03G253010JV,513,724930-5012*
14,03G253010JV,514,724930-5012S
14,03G253010JV,515,724930-6
14,03G253010JV,516,724930-8
14,03G253010JV,517,724930-9
14,03G253010JV,528,724930-9009
14,03G253010JV,518,724930-9009*
14,03G253010JV,519,724930-9009S
14,03G253010JV,520,724930-9009W
14,03G253010JV,521,724930-9010*
14,03G253010JV,522,724930-9010S
14,03G253010JV,523,724930-9010W
14,03G253010JV,524,724930-9010s
14,03G253010JV,525,724930-9012S*
14,03G253010JV,526,724930-9012W
14,03G253010JV,527,72493050102S
15,038253010C,551,0207-02-0008P
15,038253010C,552,0207-02-0008R
15,038253010C,553,0207-02-0013P
15,038253010C,554,0207-02-0013R
15,038253010C,558,038253010C
15,038253010C,559,038253010D
15,038253010C,560,038253010N
15,038253010C,561,038253010P
15,038253010C,562,038253014F
15,038253010C,563,038253014G
15,038253010C,564,038253014H
15,038253010C,565,038253016K
15,038253010C,566,038253016R
15,038253010C,567,038253019J
15,038253010C,568,038253056E
15,038253010C,569,038253056G
15,038253010C,570,03G253014F
15,038253010C,535,5439-970-0022
15,038253010C,536,5439-988-0022
15,038253010C,537,751851
15,038253010C,538,751851-0001
15,038253010C,539,751851-0002
15,038253010C,540,751851-0003
15,038253010C,541,751851-0004
15,038253010C,542,751851-1
15,038253010C,543,751851-2
15,038253010C,544,751851-3
15,038253010C,545,751851-4
15,038253010C,546,751851-5001S
15,038253010C,547,751851-5002S
15,038253010C,548,751851-5003S
15,038253010C,549,751851-5004S
15,038253010C,555,751851-9003
15,038253010C,556,751851-9004
15,038253010C,550,751851-9004S
15,038253010C,557,KKK54399880022/R
16,2823127400,575,2823127400
16,2823127400,576,2823127410
16,2823127400,571,757886-0003
16,2823127400,572,757886-3
16,2823127400,573,757886-5003S
16,2823127400,574,757886-9003W
17,038253019J,551,0207-02-0008P
17,038253019J,552,0207-02-0008R
17,038253019J,554,0207-02-0013R
17,038253019J,559,038253010D
17,038253019J,580,038253010DV
17,038253019J,581,038253010DX
17,038253019J,560,038253010N
17,038253019J,561,038253010P
17,038253019J,582,038253010PV
17,038253019J,583,038253010PX
17,038253019J,563,038253014G
17,038253019J,584,038253014GV
17,038253019J,585,038253014GX
17,038253019J,565,038253016K
17,038253019J,586,038253016KV
17,038253019J,587,038253016KX
17,038253019J,566,038253016R
